State ,Code,FIPS,Salary 2018,Salary 2019,Salary 2020,Salary 2021,Salary 2022,Home Price 2018,Home Price 2019,Home Price 2020,Home Price 2021,Home Price 2022,Index 2018,Index 2019,Index 2020,Index 2021,Index 2022,Difference 22-18,Percent
Alabama,AL,1,52962,54021,55534,56089,57211,143746,150411,160970,185867,215294,2.7,2.8,2.9,3.3,3.8,1,39
Alaska,AK,2,67983,69343,71284,71997,73437,273780,295937,291865,306273,336888,4,4.3,4.1,4.3,4.6,0.6,14
Arizona,AZ,4,59840,61037,62746,63374,64641,246828,260678,289724,381137,432850,4.1,4.3,4.6,6,6.7,2.6,62
Arkansas,AR,5,59850,61047,62757,63384,64652,129578,135059,140952,161826,187071,2.2,2.2,2.2,2.6,2.9,0.7,34
California,CA,6,62743,63998,65790,66448,67777,539705,544780,580794,707582,769405,8.6,8.5,8.8,10.6,11.4,2.8,32
Colorado,CO,8,61454,62683,64438,65082,66384,388633,401268,422247,513291,577500,6.3,6.4,6.6,7.9,8.7,2.4,38
Connecticut,CT,9,70297,71703,73711,74448,75937,256151,258311,300000,325811,360650,3.6,3.6,4.1,4.4,4.7,1.1,30
Delaware,DE,10,61465,62694,64450,65094,66396,257868,262337,275169,322917,361656,4.2,4.2,4.3,5,5.4,1.3,30
Florida,FL,12,51333,52359,53825,54364,55451,237880,246866,260607,318579,406988,4.6,4.7,4.8,5.9,7.3,2.7,58
Georgia,GA,13,47860,48818,50184,50686,51700,196302,208072,219932,266455,323991,4.1,4.3,4.4,5.3,6.3,2.2,53
Hawaii,HI,15,71192,72615,74649,75395,76903,652747,659755,667141,777526,910349,9.2,9.1,8.9,10.3,11.8,2.7,29
Idaho,ID,16,62118,63361,65135,65786,67102,259622,287258,320057,447005,471341,4.2,4.5,4.9,6.8,7,2.8,68
Illinois,IL,17,56515,57645,59259,59852,61049,202719,206291,211997,241112,267383,3.6,3.6,3.6,4,4.4,0.8,22
Indiana,IN,18,58018,59179,60836,61444,62673,150876,159955,170158,199120,227165,2.6,2.7,2.8,3.2,3.6,1,39
Iowa,IA,19,65291,66597,68461,69146,70529,153468,158985,163218,180439,199388,2.4,2.4,2.4,2.6,2.8,0.5,20
Kansas,KS,20,61385,62613,64366,65010,66310,154099,160785,168711,194393,214970,2.5,2.6,2.6,3,3.2,0.7,29
Kentucky,KY,21,58108,59270,60930,61539,62770,144283,151240,159045,181233,205598,2.5,2.6,2.6,2.9,3.3,0.8,32
Louisiana,LA,22,56756,57891,59512,60107,61309,171458,172655,178317,195617,218008,3,3,3,3.3,3.6,0.5,18
Maine,ME,23,58817,59994,61673,62290,63536,234414,243523,264315,327869,369767,4,4.1,4.3,5.3,5.8,1.8,46
Maryland,MD,24,64563,65855,67699,68375,69743,308203,313766,327351,374873,405957,4.8,4.8,4.8,5.5,5.8,1,22
Massachusetts,MA,25,71414,72842,74882,75630,77143,418406,424861,450179,531486,583964,5.9,5.8,6,7,7.6,1.7,29
Michigan,MI,26,58052,59213,60871,61479,62709,163081,172028,182293,214717,237236,2.8,2.9,3,3.5,3.8,1,35
Minnesota,MN,27,70893,72310,74335,75078,76580,246909,257630,271017,310271,334482,3.5,3.6,3.6,4.1,4.4,0.9,25
Mississippi,MS,28,59860,61057,62766,63394,64662,125150,130267,134606,150927,171319,2.1,2.1,2.1,2.4,2.6,0.6,27
Missouri,MO,29,55948,57066,58664,59251,60436,161668,168773,178768,207931,234924,2.9,3,3,3.5,3.9,1,35
Montana,MT,30,58603,59776,61449,62064,63305,273186,287936,305170,386653,463871,4.7,4.8,5,6.2,7.3,2.7,57
Nebraska,NE,31,61889,63127,64894,65543,66854,178360,187655,196561,225625,248627,2.9,3,3,3.4,3.7,0.8,29
Nevada,NV,32,70257,71662,73668,74405,75893,291643,298039,313934,391949,454158,4.2,4.2,4.3,5.3,6,1.8,44
New Hampshire,NH,33,63930,65209,67035,67705,69059,280119,290767,311638,381022,438366,4.4,4.5,4.6,5.6,6.3,2,45
New Jersey,NJ,34,61839,63076,64842,65490,66800,332315,338694,355215,422044,471719,5.4,5.4,5.5,6.4,7.1,1.7,31
New Mexico,NM,35,65120,66422,68282,68965,70344,192138,204297,218804,259471,299814,3,3.1,3.2,3.8,4.3,1.3,44
New York,NY,36,67833,69190,71127,71838,73275,301340,311418,323306,370943,411861,4.4,4.5,4.5,5.2,5.6,1.2,27
North Carolina,NC,37,51083,52104,53563,54099,55181,198243,209136,222504,270364,328682,3.9,4,4.2,5,6,2.1,53
North Dakota,ND,38,67006,68346,70260,70963,72382,235196,238862,241504,260405,284130,3.5,3.5,3.4,3.7,3.9,0.4,12
Ohio,OH,39,67165,68508,70426,71130,72553,146427,154779,165449,192923,216746,2.2,2.3,2.3,2.7,3,0.8,37
Oklahoma,OK,40,58448,59617,61286,61899,63137,129008,134230,142480,162085,187915,2.2,2.3,2.3,2.6,3,0.8,35
Oregon,OR,41,67813,69169,71106,71817,73253,357692,367185,390290,472864,515439,5.3,5.3,5.5,6.6,7,1.8,33
Pennsylvania,PA,42,55973,57092,58691,59277,60463,190938,198677,210003,244380,268984,3.4,3.5,3.6,4.1,4.4,1,30
Rhode Island,RI,44,68836,70213,72179,72901,74359,294876,301206,320971,390293,437424,4.3,4.3,4.4,5.4,5.9,1.6,37
South Carolina,SC,45,60604,61816,63547,64182,65466,187584,195937,206644,243289,299173,3.1,3.2,3.3,3.8,4.6,1.5,48
South Dakota,SD,46,63709,64983,66803,67471,68820,210779,219977,228345,265396,305170,3.3,3.4,3.4,3.9,4.4,1.1,34
Tennessee,TN,47,72746,74201,76278,77041,78582,185453,195709,210492,252136,309460,2.5,2.6,2.8,3.3,3.9,1.4,54
Texas,TX,48,55035,56135,57707,58284,59450,206066,215056,223988,268414,315815,3.7,3.8,3.9,4.6,5.3,1.6,42
Utah,UT,49,65582,66893,68766,69454,70843,333120,355987,385976,500470,562693,5.1,5.3,5.6,7.2,7.9,2.9,56
Vermont,VT,50,62161,63404,65180,65831,67148,254373,263952,271764,316855,370790,4.1,4.2,4.2,4.8,5.5,1.4,35
Virginia,VA,51,63390,64658,66469,67133,68476,279725,290860,304783,346576,382958,4.4,4.5,4.6,5.2,5.6,1.2,27
Washington,WA,53,68480,69850,71805,72524,73974,389355,402440,441023,542845,613674,5.7,5.8,6.1,7.5,8.3,2.6,46
West Virginia,WV,54,57020,58160,59788,60386,61594,111071,115338,117791,128982,144640,1.9,2,2,2.1,2.3,0.4,21
Wisconsin,WI,55,68200,69564,71511,72226,73671,187746,197285,210254,242895,268737,2.8,2.8,2.9,3.4,3.6,0.9,33
Wyoming,WY,56,59391,60579,62275,62898,64156,250754,264859,273554,299497,339353,4.2,4.4,4.4,4.8,5.3,1.1,25
